date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-07-07,,"Heat Advisory, very quiet lunch and HH, steady dinner flow",,,,,,,,,,,,,,,,,,,,
2023-07-08,,"Most covers were walkins today, Rain in the beginning of Dinner, $19k Outside event. ",,,,,,,,,,,,,,,,,,,,
2023-07-09,,Started with 15 covers finished with 137 for lunch. Decent Wine sale for dinner.,,,,,,,,,,,,,,,,,,,,
2023-07-10,,"Quiet Lunch and HH, Dinner had last minute walkins, Good wine sales by Ivan ",,,,,,,,,,,,,,,,,,,,
2023-07-11,,"Very slow day and night, not many people on the street, some late walkins and a 12 top for dinner",,,,,,,,,,,,,,,,,,,,
2023-07-12,,"Handful of walkins for Lunch and Dinner, Busy Bar during HH",,,,,,,,,,,,,,,,,,,,
2023-07-13,,Up agaist Bastille Day LY. Busy bar. Late Dinner pop,,,,,,,,,,,,,,,,,,,,
2023-07-14,,BASTILLE DAY,,,,,,,,,,,,,,,,,,,,
2023-07-15,,"Steady Lunch, Summer menu roll out for Dinner, Offsite Ferrari",,,,,,,,,,,,,,,,,,,,
2023-07-16,,Busy HH and late push large parties,,,,,,,,,,,,,,,,,,,,
2023-07-17,,"Slow day and nigth, not much foot traffic on the street",,,,,,,,,,,,,,,,,,,,
2023-07-18,,"6k + wine sales from Marcello, soft Dinner with small pop at 5 pm",,,,,,,,,,,,,,,,,,,,
2023-07-19,"Marketing Food comp, Rouge Vendor and comp alcohol, comp entrees did not like","Rainy day today off and on throughout day, not many walk-ins, low covers. Guests enjoying items on new menu",,,,,,,,,,,,,,,,,,,,
2023-07-20,,"Soft lunch, Dinner started later than usual, handful of walkins",,,,,,,,,,,,,,,,,,,,
2023-07-21,Owner food 216      Owner alcohol 54$   Special occasion 90$,A lot of walk-ins for the lunch and the HH was nice Dinner was more quiet,,,,,,,,,,,,,,,,,,,,
2023-07-22,,"Late Dinner pop, large party walkins, 1k in gc Sale",,,,,,,,,,,,,,,,,,,,
2023-07-23,,"Brunch was busy with a Hopping Bar till 6pm, 50% repeat guests today",,,,,,,,,,,,,,,,,,,,
2023-07-24,,"Quiet lunch, Busy HH only at the Bar . Nice $1800 wine sale by Marcello. Marcello Wine Dinner 4 top $250++pp",,,,,,,,,,,,,,,,,,,,
2023-07-25,,"Buzzing HH at the bar, Dinner mostly Walkins",,,,,,,,,,,,,,,,,,,,
2023-07-26,,"Handful of larger parties for Lunch, Walkins were most of out covers tthis evening",,,,,,,,,,,,,,,,,,,,
2023-07-27,,"Soft Lunch, Full bar at HH, Late push with with large tops",,,,,,,,,,,,,,,,,,,,
2023-07-28,,"Buzzing lunch and HH today Steady dinner with a pop at 6:30, large parties late. Opening Night of ROUGE",,,,,,,,,,,,,,,,,,,,
2023-07-29,,Cars & Coffee event at Gulfcoast Motorworks. 2nd night of Rouge.  and softer lunch than yesterday. ,,,,,,,,,,,,,,,,,,,,
2023-07-30,,"Steady Lunch Busy HH att he bar, Late dinner walkins",,,,,,,,,,,,,,,,,,,,
2023-07-31,,"Quiet Lunch, Buzzing HH, nice Steady Dinner flow with large walkin 14 top at 8:30pm, Rouge 2  Top Anniversay",,,,,,,,,,,,,,,,,,,,
2023-08-01,,"Slow Lunch, with a late pop for HH and many walksins around 7 pm",,,,,,,,,,,,,,,,,,,,
2023-08-02,,"M. Chapoutier Trade Lunch withMarcello, Soft Dinner.",,,,,,,,,,,,,,,,,,,,
2023-08-03,,"1K+ Wine sales from Marcello for Lunch, Fully booked at Rouge This evenig.",,,,,,,,,,,,,,,,,,,,
2023-08-04,,"Busy HH and Dinner, felt like season again, 4K Rouge",,,,,,,,,,,,,,,,,,,,
2023-08-05,,"Busy Bar All HH, Steady Dinner with over 100 walkins. Rouge going strong!",,,,,,,,,,,,,,,,,,,,
2023-08-06,,"HH 47 top, Steady Lunch and Dinner",,,,,,,,,,,,,,,,,,,,
2023-08-07,$124.00 of special occasions.,"More than doubled walkins all day Quiet HH, Great Wine sales Dinner",,,,,,,,,,,,,,,,,,,,
2023-08-08,90.00$ special occasion,Massive power outage last year. Closed for dinner. ,,,,,,,,,,,,,,,,,,,,
2023-08-09,Special occasion 90$ ans Neighbour 60$,Nice Lunch… party 46 Greater naples Chamber ROUGE was open,,,,,,,,,,,,,,,,,,,,
2023-08-10,,Lunch on Par as previous days with a lively HH and steady Dinner flow with large parties and  Naples Yacht Club 10 Top. Live music on 5th tonight. ROUGE was open. ,,,,,,,,,,,,,,,,,,,,
2023-08-11, ,Lunch on par for the week with a steady almost $34ppa. Dinner was slow to start but we had a $1200 8top and decent walkins. Comparable covers to last night with bigger spenders. ROUGE was open. ,,,,,,,,,,,,,,,,,,,,
2023-08-12,,Both Lunch & Dinner PPA up today.  Bentley Cars & Coffee  Catering $2K.  Rain kept a lot of walkins from coming tonight. Big spender in ROUGE TONIGHT one table $2K and Great Wine Sales.  ROUGE was open,,,,,,,,,,,,,,,,,,,,
2023-08-13,Ran a Speical today for National Prosecco Day and gave one complimentary drink with a meal,"Steady Lunch flow, quiet HH Dinner was very soft compared to last several nights, however a good dinner PPA at $57",,,,,,,,,,,,,,,,,,,,
2023-08-14,,"Soft Lunch and Dinner, handfull of walkins at the end of the evening",,,,,,,,,,,,,,,,,,,,
2023-08-15,,"Full bar for HH  & 12 top ladies HH Wine Dinner, very few dinner walkins",,,,,,,,,,,,,,,,,,,,
2023-08-16,,"Around 50% of covers for dinner were walkins, Rouge booked up!",,,,,,,,,,,,,,,,,,,,
